Altium Designer Pick and Place Locations
C:\Mikrotik\MR_PRO\MR_Panel-1\.\Outputs\MR_Indicators-1_r1_PANEL_PNP.csv

========================================================================================================================
File Design Information:

Date:       24.09.21
Time:       19:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"LD4","69.0000","9.0000","TopLayer","360"
"LD3","49.0000","9.0000","TopLayer","360"
"LD2","29.0000","9.0000","TopLayer","360"
"LD1","9.0000","9.0000","TopLayer","360"
"LD4","69.0000","21.5000","TopLayer","360"
"LD3","49.0000","21.5000","TopLayer","360"
"LD2","29.0000","21.5000","TopLayer","360"
"LD1","9.0000","21.5000","TopLayer","360"
"LD4","69.0000","34.0000","TopLayer","360"
"LD3","49.0000","34.0000","TopLayer","360"
"LD2","29.0000","34.0000","TopLayer","360"
"LD1","9.0000","34.0000","TopLayer","360"
"LD4","69.0000","46.5000","TopLayer","360"
"LD3","49.0000","46.5000","TopLayer","360"
"LD2","29.0000","46.5000","TopLayer","360"
"LD1","9.0000","46.5000","TopLayer","360"
"LD4","69.0000","59.0000","TopLayer","360"
"LD3","49.0000","59.0000","TopLayer","360"
"LD2","29.0000","59.0000","TopLayer","360"
"LD1","9.0000","59.0000","TopLayer","360"
"LD4","69.0000","71.5000","TopLayer","360"
"LD3","49.0000","71.5000","TopLayer","360"
"LD2","29.0000","71.5000","TopLayer","360"
"LD1","9.0000","71.5000","TopLayer","360"
"LD4","69.0000","84.0001","TopLayer","360"
"LD3","49.0000","84.0001","TopLayer","360"
"LD2","29.0000","84.0001","TopLayer","360"
"LD1","9.0000","84.0001","TopLayer","360"
"LD4","69.0000","96.5001","TopLayer","360"
"LD3","49.0000","96.5001","TopLayer","360"
"LD2","29.0000","96.5001","TopLayer","360"
"LD1","9.0000","96.5001","TopLayer","360"
"J1","59.0000","3.0000","BottomLayer","180"
"J1","59.0000","15.5000","BottomLayer","180"
"J1","59.0000","28.0000","BottomLayer","180"
"J1","59.0000","40.5000","BottomLayer","180"
"J1","59.0000","53.0000","BottomLayer","180"
"J1","59.0000","65.5000","BottomLayer","180"
"J1","59.0000","78.0001","BottomLayer","180"
"J1","59.0000","90.5001","BottomLayer","180"
"J2","39.0000","6.5000","BottomLayer","270"
"J2","39.0000","19.0000","BottomLayer","270"
"J2","39.0000","31.5000","BottomLayer","270"
"J2","39.0000","44.0000","BottomLayer","270"
"J2","39.0000","56.5000","BottomLayer","270"
"J2","39.0000","69.0000","BottomLayer","270"
"J2","39.0000","81.5001","BottomLayer","270"
"J2","39.0000","94.0001","BottomLayer","270"
"R24","73.0000","1.8000","BottomLayer","90"
"R23","53.0000","1.8000","BottomLayer","90"
"R22","33.0000","1.8000","BottomLayer","90"
"R21","13.0000","1.8000","BottomLayer","90"
"R20","67.8000","1.8000","BottomLayer","90"
"R19","47.8000","1.8000","BottomLayer","90"
"R18","27.8000","1.8000","BottomLayer","90"
"R17","7.8000","1.8000","BottomLayer","90"
"R16","73.0000","4.4000","BottomLayer","90"
"R15","53.0000","4.4000","BottomLayer","90"
"R14","33.0000","4.4000","BottomLayer","90"
"R13","13.0000","4.4000","BottomLayer","90"
"R12","67.8000","4.4000","BottomLayer","270"
"R11","47.8000","4.4000","BottomLayer","270"
"R10","27.8000","4.4000","BottomLayer","270"
"R9","7.8000","4.4000","BottomLayer","270"
"R8","65.3000","9.0000","BottomLayer","360"
"R7","45.3000","9.0000","BottomLayer","360"
"R6","25.3000","9.0000","BottomLayer","360"
"R5","5.3000","9.0000","BottomLayer","360"
"R24","73.0000","14.3000","BottomLayer","90"
"R23","53.0000","14.3000","BottomLayer","90"
"R22","33.0000","14.3000","BottomLayer","90"
"R21","13.0000","14.3000","BottomLayer","90"
"R20","67.8000","14.3000","BottomLayer","90"
"R19","47.8000","14.3000","BottomLayer","90"
"R18","27.8000","14.3000","BottomLayer","90"
"R17","7.8000","14.3000","BottomLayer","90"
"R16","73.0000","16.9000","BottomLayer","90"
"R15","53.0000","16.9000","BottomLayer","90"
"R14","33.0000","16.9000","BottomLayer","90"
"R13","13.0000","16.9000","BottomLayer","90"
"R12","67.8000","16.9000","BottomLayer","270"
"R11","47.8000","16.9000","BottomLayer","270"
"R10","27.8000","16.9000","BottomLayer","270"
"R9","7.8000","16.9000","BottomLayer","270"
"R8","65.3000","21.5000","BottomLayer","360"
"R7","45.3000","21.5000","BottomLayer","360"
"R6","25.3000","21.5000","BottomLayer","360"
"R5","5.3000","21.5000","BottomLayer","360"
"R24","73.0000","26.8000","BottomLayer","90"
"R23","53.0000","26.8000","BottomLayer","90"
"R22","33.0000","26.8000","BottomLayer","90"
"R21","13.0000","26.8000","BottomLayer","90"
"R20","67.8000","26.8000","BottomLayer","90"
"R19","47.8000","26.8000","BottomLayer","90"
"R18","27.8000","26.8000","BottomLayer","90"
"R17","7.8000","26.8000","BottomLayer","90"
"R16","73.0000","29.4000","BottomLayer","90"
"R15","53.0000","29.4000","BottomLayer","90"
"R14","33.0000","29.4000","BottomLayer","90"
"R13","13.0000","29.4000","BottomLayer","90"
"R12","67.8000","29.4000","BottomLayer","270"
"R11","47.8000","29.4000","BottomLayer","270"
"R10","27.8000","29.4000","BottomLayer","270"
"R9","7.8000","29.4000","BottomLayer","270"
"R8","65.3000","34.0000","BottomLayer","360"
"R7","45.3000","34.0000","BottomLayer","360"
"R6","25.3000","34.0000","BottomLayer","360"
"R5","5.3000","34.0000","BottomLayer","360"
"R24","73.0000","39.3000","BottomLayer","90"
"R23","53.0000","39.3000","BottomLayer","90"
"R22","33.0000","39.3000","BottomLayer","90"
"R21","13.0000","39.3000","BottomLayer","90"
"R20","67.8000","39.3000","BottomLayer","90"
"R19","47.8000","39.3000","BottomLayer","90"
"R18","27.8000","39.3000","BottomLayer","90"
"R17","7.8000","39.3000","BottomLayer","90"
"R16","73.0000","41.9000","BottomLayer","90"
"R15","53.0000","41.9000","BottomLayer","90"
"R14","33.0000","41.9000","BottomLayer","90"
"R13","13.0000","41.9000","BottomLayer","90"
"R12","67.8000","41.9000","BottomLayer","270"
"R11","47.8000","41.9000","BottomLayer","270"
"R10","27.8000","41.9000","BottomLayer","270"
"R9","7.8000","41.9000","BottomLayer","270"
"R8","65.3000","46.5000","BottomLayer","360"
"R7","45.3000","46.5000","BottomLayer","360"
"R6","25.3000","46.5000","BottomLayer","360"
"R5","5.3000","46.5000","BottomLayer","360"
"R24","73.0000","51.8000","BottomLayer","90"
"R23","53.0000","51.8000","BottomLayer","90"
"R22","33.0000","51.8000","BottomLayer","90"
"R21","13.0000","51.8000","BottomLayer","90"
"R20","67.8000","51.8000","BottomLayer","90"
"R19","47.8000","51.8000","BottomLayer","90"
"R18","27.8000","51.8000","BottomLayer","90"
"R17","7.8000","51.8000","BottomLayer","90"
"R16","73.0000","54.4000","BottomLayer","90"
"R15","53.0000","54.4000","BottomLayer","90"
"R14","33.0000","54.4000","BottomLayer","90"
"R13","13.0000","54.4000","BottomLayer","90"
"R12","67.8000","54.4000","BottomLayer","270"
"R11","47.8000","54.4000","BottomLayer","270"
"R10","27.8000","54.4000","BottomLayer","270"
"R9","7.8000","54.4000","BottomLayer","270"
"R8","65.3000","59.0000","BottomLayer","360"
"R7","45.3000","59.0000","BottomLayer","360"
"R6","25.3000","59.0000","BottomLayer","360"
"R5","5.3000","59.0000","BottomLayer","360"
"R24","73.0000","64.3000","BottomLayer","90"
