Altium Designer Pick and Place Locations
C:\Mikrotik\MR_PRO\MR_Indicator-2\.\Outputs\MR_Indicators-2_r1_PANEL_PNP.csv

========================================================================================================================
File Design Information:

Date:       25.09.21
Time:       16:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"LD4","69.0000","9.0000","TopLayer","360"
"LD3","49.0000","9.0000","TopLayer","360"
"LD2","29.0000","9.0000","TopLayer","360"
"LD1","9.0000","9.0000","TopLayer","360"
"LD4","69.0000","21.5000","TopLayer","360"
"LD3","49.0000","21.5000","TopLayer","360"
"LD2","29.0000","21.5000","TopLayer","360"
"LD1","9.0000","21.5000","TopLayer","360"
"LD4","69.0000","34.0000","TopLayer","360"
"LD3","49.0000","34.0000","TopLayer","360"
"LD2","29.0000","34.0000","TopLayer","360"
"LD1","9.0000","34.0000","TopLayer","360"
"LD4","69.0000","46.5000","TopLayer","360"
"LD3","49.0000","46.5000","TopLayer","360"
"LD2","29.0000","46.5000","TopLayer","360"
"LD1","9.0000","46.5000","TopLayer","360"
"LD4","69.0000","59.0000","TopLayer","360"
"LD3","49.0000","59.0000","TopLayer","360"
"LD2","29.0000","59.0000","TopLayer","360"
"LD1","9.0000","59.0000","TopLayer","360"
"LD4","69.0000","71.5000","TopLayer","360"
"LD3","49.0000","71.5000","TopLayer","360"
"LD2","29.0000","71.5000","TopLayer","360"
"LD1","9.0000","71.5000","TopLayer","360"
"LD4","69.0000","84.0001","TopLayer","360"
"LD3","49.0000","84.0001","TopLayer","360"
"LD2","29.0000","84.0001","TopLayer","360"
"LD1","9.0000","84.0001","TopLayer","360"
"LD4","69.0000","96.5001","TopLayer","360"
"LD3","49.0000","96.5001","TopLayer","360"
"LD2","29.0000","96.5001","TopLayer","360"
"LD1","9.0000","96.5001","TopLayer","360"
"J1","59.0000","3.0000","BottomLayer","180"
"J1","59.0000","15.5000","BottomLayer","180"
"J1","59.0000","28.0000","BottomLayer","180"
"J1","59.0000","40.5000","BottomLayer","180"
"J1","59.0000","53.0000","BottomLayer","180"
"J1","59.0000","65.5000","BottomLayer","180"
"J1","59.0000","78.0001","BottomLayer","180"
"J1","59.0000","90.5001","BottomLayer","180"
"J2","39.0000","6.5000","BottomLayer","270"
"J2","39.0000","19.0000","BottomLayer","270"
"J2","39.0000","31.5000","BottomLayer","270"
"J2","39.0000","44.0000","BottomLayer","270"
"J2","39.0000","56.5000","BottomLayer","270"
"J2","39.0000","69.0000","BottomLayer","270"
"J2","39.0000","81.5001","BottomLayer","270"
"J2","39.0000","94.0001","BottomLayer","270"
"R4","67.7300","5.5000","BottomLayer","90"
"R3","47.7300","5.5000","BottomLayer","90"
"R2","27.7300","5.5000","BottomLayer","90"
"R1","7.7300","5.5000","BottomLayer","90"
"R4","67.7300","18.0000","BottomLayer","90"
"R3","47.7300","18.0000","BottomLayer","90"
"R2","27.7300","18.0000","BottomLayer","90"
"R1","7.7300","18.0000","BottomLayer","90"
"R4","67.7300","30.5000","BottomLayer","90"
"R3","47.7300","30.5000","BottomLayer","90"
"R2","27.7300","30.5000","BottomLayer","90"
"R1","7.7300","30.5000","BottomLayer","90"
"R4","67.7300","43.0000","BottomLayer","90"
"R3","47.7300","43.0000","BottomLayer","90"
"R2","27.7300","43.0000","BottomLayer","90"
"R1","7.7300","43.0000","BottomLayer","90"
"R4","67.7300","55.5000","BottomLayer","90"
"R3","47.7300","55.5000","BottomLayer","90"
"R2","27.7300","55.5000","BottomLayer","90"
"R1","7.7300","55.5000","BottomLayer","90"
"R4","67.7300","68.0000","BottomLayer","90"
"R3","47.7300","68.0000","BottomLayer","90"
"R2","27.7300","68.0000","BottomLayer","90"
"R1","7.7300","68.0000","BottomLayer","90"
"R4","67.7300","80.5001","BottomLayer","90"
"R3","47.7300","80.5001","BottomLayer","90"
"R2","27.7300","80.5001","BottomLayer","90"
"R1","7.7300","80.5001","BottomLayer","90"
"R4","67.7300","93.0001","BottomLayer","90"
"R3","47.7300","93.0001","BottomLayer","90"
"R2","27.7300","93.0001","BottomLayer","90"
"R1","7.7300","93.0001","BottomLayer","90"
"Designator155","-200.0000","-200.0000","TopLayer","0"
"D1","64.5000","4.7400","BottomLayer","270"
"D1","64.5000","17.2400","BottomLayer","270"
"D1","64.5000","29.7400","BottomLayer","270"
"D1","64.5000","42.2400","BottomLayer","270"
"D1","64.5000","54.7400","BottomLayer","270"
"D1","64.5000","67.2400","BottomLayer","270"
"D1","64.5000","79.7401","BottomLayer","270"
"D1","64.5000","92.2401","BottomLayer","270"
"Designator171","-200.0000","-200.0000","TopLayer","270"
"Designator169","-200.0000","-200.0000","TopLayer","270"
"Designator165","-200.0000","-200.0000","TopLayer","270"
"Designator164","-200.0000","-200.0000","TopLayer","270"
"Designator163","-200.0000","-200.0000","TopLayer","270"
"Designator162","-200.0000","-200.0000","TopLayer","270"
"Designator161","-200.0000","-200.0000","TopLayer","270"
