Altium Designer Pick and Place Locations
C:\Mikrotik\MR_PRO\MR_Indicators-2\.\Outputs\MR_Indicators-2_r1_PNP.csv

========================================================================================================================
File Design Information:

Date:       26.09.21
Time:       19:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"LD4","69.0000","9.0000","TopLayer","360"
"LD3","49.0000","9.0000","TopLayer","360"
"LD2","29.0000","9.0000","TopLayer","360"
"LD1","9.0000","9.0000","TopLayer","360"
"J1","59.0000","3.0000","BottomLayer","180"
"J2","39.0000","6.5000","BottomLayer","270"
"R26","20.6500","1.4000","BottomLayer","180"
"R25","16.5500","2.1000","BottomLayer","270"
"R24","70.3000","3.1000","BottomLayer","270"
"R23","50.3000","3.1000","BottomLayer","270"
"R22","30.3000","3.1000","BottomLayer","270"
"R21","10.3000","3.1000","BottomLayer","270"
"R20","65.0000","5.7000","BottomLayer","90"
"R19","45.0000","5.7000","BottomLayer","90"
"R18","25.0000","5.7000","BottomLayer","90"
"R17","5.0000","5.7000","BottomLayer","90"
"R16","65.0000","3.1000","BottomLayer","90"
"R15","45.0000","3.1000","BottomLayer","90"
"R14","25.0000","3.1000","BottomLayer","90"
"R13","5.0000","3.1000","BottomLayer","90"
"R12","70.3000","5.7000","BottomLayer","90"
"R11","50.3000","5.7000","BottomLayer","90"
"R10","30.3000","5.7000","BottomLayer","90"
"R9","10.3000","5.7000","BottomLayer","90"
"R8","68.3000","6.4000","BottomLayer","180"
"R7","48.3000","6.4000","BottomLayer","180"
"R6","28.3000","6.4000","BottomLayer","180"
"R5","8.3000","6.4000","BottomLayer","180"
"R4","73.5000","7.6750","BottomLayer","270"
"R3","53.5000","7.6750","BottomLayer","270"
"R2","33.5000","7.6750","BottomLayer","270"
"R1","13.5000","7.6750","BottomLayer","270"
"D1","18.2500","3.1400","BottomLayer","90"
"Q9","21.1000","4.0000","BottomLayer","180"
"Q8","67.6000","3.6000","BottomLayer","90"
"Q7","47.6000","3.6000","BottomLayer","90"
"Q6","27.6000","3.6000","BottomLayer","90"
"Q5","7.6000","3.6000","BottomLayer","90"
"Q4","73.0000","3.6000","BottomLayer","90"
"Q3","53.0000","3.6000","BottomLayer","90"
"Q2","33.0000","3.6000","BottomLayer","90"
"Q1","13.0000","3.6000","BottomLayer","90"
