Altium Designer Pick and Place Locations
C:\Mikrotik\MR_PRO\MR_Indicator-1\.\Outputs\MR_Indicators-1_r1_PNP.csv

========================================================================================================================
File Design Information:

Date:       26.09.21
Time:       19:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"LD4","69.0000","9.0000","TopLayer","360"
"LD3","49.0000","9.0000","TopLayer","360"
"LD2","29.0000","9.0000","TopLayer","360"
"LD1","9.0000","9.0000","TopLayer","360"
"J1","59.0000","3.0000","BottomLayer","180"
"J2","39.0000","6.5000","BottomLayer","270"
"R24","73.0000","1.8000","BottomLayer","90"
"R23","53.0000","1.8000","BottomLayer","90"
"R22","33.0000","1.8000","BottomLayer","90"
"R21","13.0000","1.8000","BottomLayer","90"
"R20","67.8000","1.8000","BottomLayer","90"
"R19","47.8000","1.8000","BottomLayer","90"
"R18","27.8000","1.8000","BottomLayer","90"
"R17","7.8000","1.8000","BottomLayer","90"
"R16","73.0000","4.4000","BottomLayer","90"
"R15","53.0000","4.4000","BottomLayer","90"
"R14","33.0000","4.4000","BottomLayer","90"
"R13","13.0000","4.4000","BottomLayer","90"
"R12","67.8000","4.4000","BottomLayer","270"
"R11","47.8000","4.4000","BottomLayer","270"
"R10","27.8000","4.4000","BottomLayer","270"
"R9","7.8000","4.4000","BottomLayer","270"
"R8","65.3000","9.0000","BottomLayer","360"
"R7","45.3000","9.0000","BottomLayer","360"
"R6","25.3000","9.0000","BottomLayer","360"
"R5","5.3000","9.0000","BottomLayer","360"
"R4","66.4050","6.9000","BottomLayer","360"
"R3","46.4050","6.9000","BottomLayer","360"
"R2","26.4050","6.9000","BottomLayer","360"
"R1","6.4050","6.9000","BottomLayer","360"
"D1","19.0000","3.2600","BottomLayer","270"
"Q8","70.4000","3.8000","BottomLayer","270"
"Q7","50.4000","3.8000","BottomLayer","270"
"Q6","30.4000","3.8000","BottomLayer","270"
"Q5","10.4000","3.8000","BottomLayer","270"
"Q4","65.2000","3.8000","BottomLayer","270"
"Q3","45.2000","3.8000","BottomLayer","270"
"Q2","25.2000","3.8000","BottomLayer","270"
"Q1","5.2000","3.8000","BottomLayer","270"
